word,count
circumstance,19
women,18
harringtons,1
conceals,1
begins,4
earnest,15
interesting,14
one's,5
except,24
recollecting,4
evenings,4
wonders,3
restoration,3
train,1
expenses,5
exceptional,1
romantic,1
metcalf's,1
uncompanionable,1
hurst,32
given,56
shrink,1
love',1
younge,4
dovedale,1
minds,4
scandalous,3
professions,6
mildly,1
thither,9
charged,1
employee,1
pin,1
market,2
inconvenience,6
privately,3
quickly,4
re,5
unexampled,1
contrive,3
ensure,2
subsist,1
military,1
mother's,25
distracted,2
hence,1
social,1
tide,2
nephew's,2
nettled,1
abusing,3
perceptible,1
relations',2
annoyed,1
perverseness,6
embracing,2
astonished,14
fact,14
here's,1
cooks,1
fidget,1
strangers,4
acrimony,1
selfishness,1
kent,14
disliking,1
six,10
electronically,2
expressive,2
society,33
bitterest,1
aunts,1
shaken,3
unembarrassed,2
miserably,1
inaccurate,1
completion,1
jealous,3
expressly,1
won't,1
doing,25
weather,6
pale,4
father,116
minuteness,1
stroll,1
sometimes,34
pitiable,3
consists,1
negligent,1
'keep,1
weak,7
tries,1
attracted,2
stubbornness,1
observed,27
vice,3
valid,1
insufficient,10
receiving,21
lucases',1
grandeur,4
anyone,29
envied,2
sleeves,1
secure,14
finest,2
sanguine,2
struggling,1
coppice,1
hearty,2
appetite,2
mamma,10
modification,1
luck,4
theatre,1
sensible,31
'lydia,1
cheat,1
serviceable,1
captivate,1
superintends,1
arrival,30
presented,2
ours,2
monthly,1
leisure,13
having,95
country,43
modern,2
feature,2
brilliancy,2
approbation,7
history,4
clear,9
meant,26
positive,3
content,1
portion,3
moment's,6
sweetest,3
adequate,1
presence,6
seek,8
picturesque,1
breakfast,26
portrait,1
employees,2
owner,9
current,1
precisely,1
fonder,2
scenes,3
guiding,1
unabated,1
defective,4
passages,2
mend,5
poured,1
fears,9
principles,1
rejoicing,4
bridge,3
keener,1
piling,1
shook,11
hardened,1
proxy,1
yawn,2
improvement,9
conditional,1
blue,2
violation,2
strangeness,1
smart,2
daily,3
entertained,7
'yes,1
inhabitants,3
oakham,1
worked,4
inflicted,1
busy,1
peculiarities,1
distant,5
delightful,18
advantage,34
intruder,1
gowns,2
polite,5
aspect,6
even,84
always,118
tempered,1
pretty,24
summer,19
therefore,74
discontented,2
being,174
undertaking,1
february,1
stopped,6
puffed,1
forget,17
charles,6
honestly,4
low,8
assented,2
token,1
engaged,36
sloping,1
refusals,1
wasting,1
confessed,4
puddles,1
missing,1
weighty,1
three,60
particular,30
recurring,1
discernment,2
death,8
relating,5
peep,1
unaffectedly,2
practises,2
gratitude,24
situation,38
gig,1
main,1
condescension,7
creative,1
share,15
hot,3
value,9
ablution,1
endeavouring,5
inattention,2
face,27
inevitably,1
round,17
countries,1
beauty,27
congratulate,7
security,3
fool,2
whisper,9
tempted,7
grapes,1
remorse,1
footstool,1
bennet's,29
displayed,4
solitary,4
subsequent,1
darcy,374
thanked,7
ere,2
door,34
overset,1
rectory,1
eccentric,1
austen,4
pursuits,1
furnished,1
offenses,3
conceal,13
neighbours,10
detection,2
vulgarity,1
ambition,1
anticipated,4
until,3
bridegroom,1
termination,2
tricks,1
york,1
reckon,1
indecorum,1
steadiness,1
explain,6
naming,1
limited,5
contrariety,1
street,18
counting,1
argument,5
arising,5
a,1982
vanilla,2
attributed,5
obstacles,2
effectually,3
kind,62
peevish,2
laying,2
winter,15
unrestrained,1
flattered,7
leaves,2
complimented,3
black,1
better,92
bordered,2
mixing,1
wisely,4
everyone,5
dispense,1
dispirited,1
parcels,2
down,73
deceived,13
disconcerted,3
entailed,6
packed,1
sixpence,1
scarcity,1
consoled,2
surprised,34
depravity,1
height,3
connivance,1
disputable,1
check,6
incomprehensible,2
unsuccessfully,1
penetration,2
softness,1
playing,6
indulged,2
remembered,9
everywhere,2
fashion,7
strange,10
borrow,2
owes,2
persuaded,25
prohibited,1
evidently,5
ridicule,5
imaginary,5
continuing,2
defended,1
recover,6
overhear,1
forbidding,1
resolved,31
relative,3
uncommonly,9
strenuously,2
locations,2
proper,20
gallantry,8
redistributing,2
what's,1
south,1
willingness,3
reporting,1
deceive,4
schemes,7
acceded,1
designedly,1
compensation,1
jones's,1
dawson,1
took,53
resent,4
replies,1
eyeing,1
punishment,5
about,126
humble,9
england,5
disturb,1
despising,2
commonly,1
battled,1
insignificance,3
sisters,73
lamented,1
for,1051
miller's,1
indifference,17
lifetime,1
equalled,1
gentleman,31
two,131
collins,156
privileged,3
bourgh's,4
aware,14
ensigncy,1
honours,2
personage,1
lottery,3
sentence,14
entreaty,7
hang,1
decked,1
recovery,3
modesty,6
decorum,4
guardianship,3
vivacity,2
entreated,2
delivering,1
catch,4
insulted,1
http,8
constrained,1
histories,1
convenient,5
communicate,3
indebted,8
advancement,1
season,3
banish,3
guided,2
torment,1
thirdly,2
word,49
stranger,12
support,11
supposition,4
rescue,1
perform,5
audible,1
use,26
superiority,1
prey,2
escape,10
desertion,1
amusement,12
talker,1
indignity,2
communicative,1
dishes,1
transferred,1
hears,1
narrowest,1
colder,1
nearest,5
billiard,1
degenerate,1
exist,1
filled,1
displeased,4
object,48
shades,1
marrying,23
resentment,17
look,56
construction,1
affronted,2
amusing,4
inured,1
grieved,11
beatings,1
rooms,8
appear,31
submitted,1
thwarted,1
executed,1
attraction,3
concluding,1
laughingly,2
meeting,22
exposure,1
messages,1
tacit,1
chaise,11
crown,1
practising,1
quadrille,4
scrupled,2
dignity,5
refute,1
walking,26
family,151
blown,1
silenced,1
unavoidably,1
repaid,2
unlucky,10
unreasonably,1
fortunate,15
pieces,2
pools,1
reflected,3
excel,2
mouths,2
mince,1
angrily,1
repeatedly,9
secrets,1
resigning,1
arts,4
merely,32
neglect,10
clement's,1
apprehension,12
sickly,4
now,199
granted,1
cast,2
abused,2
abrupt,1
adorned,3
dispelling,1
taking,18
person's,2
acquisition,1
bring,18
strangely,1
prospect,14
receipt,4
deserts,2
brains,1
characterise,1
coincidence,1
excepting,3
trunks,1
agree,15
finished,10
brother's,13
email,3
prepare,8
member,1
falsehood,7
bride,3
slowly,4
heinous,1
birmingham,1
keeps,3
exclamation,2
conversing,3
relate,11
week,29
adieu,5
read,42
asserting,1
apartment,4
though,216
stays,1
crossing,2
petticoat,3
campful,1
hypocritical,2
provide,11
reputation,3
vexation,10
genuine,2
paying,6
respectability,5
gave,54
find,58
eye,15
hundreds,1
motion,1
interest,26
write,38
favours,2
jilt,1
christmas,6
interpretation,1
spots,2
amusements,3
unbecoming,1
proof,7
water,4
sprang,1
around,2
distributor,1
impressed,1
mentioning,7
news,32
fearing,3
jumping,1
hour's,3
scene,16
infancy,2
requited,1
barouche,1
excuses,2
discouraged,2
preserved,4
supposed,26
prejudice,11
bath,1
unsuspicious,1
transpired,1
attentive,10
money,28
discern,2
discompose,1
justification,1
daughters',1
conclude,5
vogue,1
silliest,1
poetry,2
replying,3
frighted,1
warded,1
languor,1
residing,1
gratefully,4
people,49
noise,3
apprehensions,2
devote,1
acute,2
imitation,1
tumult,3
dearest,16
quieter,1
there's,2
sit,15
utf,1
acquaint,2
moralize,1
polluted,1
tour,6
spare,7
lizzy,84
northward,1
every,197
save,3
considerations,1
'mr,1
disrespect,2
chanced,1
calculated,4
fool's,1
false,12
earnestness,2
mistake,8
resist,4
exclusion,2
facts,1
weakness,5
faithful,3
venturing,1
moved,9
daughter,77
unwillingness,3
ducks,1
nobody,16
celebrated,2
removed,18
rising,7
unfortunately,3
examine,2
henceforth,1
stupider,1
drove,11
arrange,1
month,7
withdrawing,1
ridiculing,1
solace,1
gaze,1
rapturous,2
dishonorable,1
planned,3
whenever,23
proceeded,10
rank,12
prone,2
names,6
length,32
among,25
game,7
endured,4
spending,5
exclude,1
likely,38
station,2
distrusted,1
injuring,1
extorted,1
end,31
elect,1
yourselves,2
thought,112
gradually,6
drink,7
respectful,1
dare,40
unavailing,2
withheld,4
incapable,8
reconcile,1
yourself,50
increased,11
requesting,2
becomes,4
life,57
vulgar,2
safely,3
guardian,1
chiefly,10
release,2
lift,4
apothecary,2
subsisted,2
instruct,1
beauteous,1
impression,7
exceeding,1
ungraciousness,1
instance,7
circuit,1
route,3
relationship,12
elevation,1
undeceive,1
costs,2
accepting,5
enumerating,5
cruelty,4
similarity,2
detached,3
confederacy,1
barnet,2
started,4
periods,1
striking,3
housemaid,2
exposed,2
afflicted,1
removal,7
resisting,1
comprehends,1
parts,5
singling,1
guardians,1
revealing,1
intimately,2
offer,28
imply,1
remained,23
thence,1
captain,4
pianoforte,5
recollection,12
journey,21
rambled,1
gaming,1
vexations,1
provocations,1
introduction,11
pages,2
yielded,2
comfortable,12
warehouses,2
employing,1
paperwork,1
taller,1
kindred,1
exporting,1
leave,62
trunk,1
inevitable,3
slit,1
pointing,5
effect,18
shew,1
dines,1
invalidity,1
presently,2
vanish,1
reel,2
rudeness,2
creation,1
duets,1
hereafter,3
engaging,6
forfeit,1
grain,1
unhappy,12
reliance,3
firmness,1
powerful,3
equally,20
transcription,1
definition,1
strength,6
succeeded,7
purposely,6
pleasure,92
bewitched,1
expectation,18
consenting,1
cheerfully,2
pleasantry,2
handsomest,4
enforced,1
quite,96
wisdom,1
busily,3
addressed,17
airing,1
regardless,2
brightest,2
opposite,11
bequeathed,1
uproar,1
suppressed,2
should,247
confirm,1
unassailed,1
promoting,2
catherine's,16
grouped,1
sons,2
rallied,2
identify,1
teach,5
performance,6
saving,3
harriet,2
sustained,1
whist,5
breathed,1
permitted,3
venting,1
exists,1
measure,5
greatly,14
provoke,5
financial,1
contemptuously,1
incivility,3
forth,12
scarce,1
observances,1
overtures,1
actuated,1
resolving,7
rites,1
perseverance,3
dearly,3
agreeably,3
reproached,2
exercising,2
respect,30
repulsed,1
apply,4
levelled,1
saved,3
proprietor,3
construed,1
misunderstood,4
lessened,1
acquiescence,2
useless,6
admirer,3
burning,1
hertfordshire,41
justifying,1
wavering,1
agent,1
teased,2
extenuating,1
opinions,8
animation,4
writer,3
paddock,3
hour,22
immovable,2
know,237
gladly,1
humility,5
repress,1
treasured,1
alluded,6
fruits,2
overpower,1
neices,1
bustle,1
consolation,10
hate,8
seconding,1
exigence,1
prevailing,2
foresee,1
dissemble,1
discerning,1
regular,3
absence,27
farewell,3
conjectures,4
press,4
wants,11
equivocal,1
victory,1
shrug,1
urged,6
worthlessness,1
pang,1
impetuous,1
challenge,1
muslins,1
boundary,2
unable,14
suffering,2
whatsoever,2
affectionately,4
chapter,61
fat,1
surpassing,1
she,1668
accept,18
'violently,1
reasonable,15
soliciting,2
generality,2
supply,7
prognostics,1
unexpected,8
scarlet,2
mediocrity,1
fun,8
partial,10
rain,4
narrowly,2
own,182
fulfil,1
cheerfulness,6
prodigiously,3
investigation,1
partners,3
along,9
longer,44
disposition,25
chosen,8
persists,1
dimensions,1
worst,7
retrospective,1
held,5
since,56
music,12
painfully,2
some,203
tremblings,1
promises,3
augment,1
habitual,1
come,89
mistaken,21
exasperate,2
between,62
tiresome,2
energy,5
possessing,1
ensign,1
ear,1
blameless,1
fall,9
fordyce's,1
prevail,2
terms,43
serve,2
coat,4
worthless,2
french,1
excess,2
persevered,1
bounty,1
fresh,9
decide,4
affected,19
criticisms,1
digressions,1
in,1909
listened,21
interrupting,2
entailing,1
vastly,1
pool,1
sparkled,2
obeyed,3
pursuit,6
faintly,1
truth,27
light,18
irritated,1
console,9
sensations,3
chose,16
stupid,3
healthy,1
undervaluing,1
inquire,10
thereby,2
solemn,5
does,80
forgiven,1
recommending,2
did,257
estates,4
detach,1
endeavour,20
curricle,2
accomplishments,5
spurned,1
altar,1
run,11
consisted,2
bets,1
chamberlayne,1
chagrin,1
senses,4
misleading,1
absolute,4
dispositions,1
closest,2
fifteen,4
concealing,1
confession,3
opportunity,30
inviting,3
obtruded,2
quieted,2
supercilious,1
easy,25
complaisant,1
fretfully,2
altered,7
derives,1
tolerable,14
proclaim,1
out,136
anger,13
shoot,3
follow,12
ought,44
lease,1
sort,38
solitude,3
patronage,4
lest,8
disobliging,1
abroad,4
deserving,2
